player_name,franchise
Virat Kohli,Royal Challengers Bengaluru
Rajat Patidar,Royal Challengers Bengaluru
Yash Dayal,Royal Challengers Bengaluru
Mohammed Siraj,Gujarat Titans
Glenn Maxwell,Punjab Kings
Cameron Green,Royal Challengers Bengaluru
Faf du Plessis,Delhi Capitals
Dinesh Karthik,Royal Challengers Bengaluru
Yuzvendra Chahal,Punjab Kings

Rohit Sharma,Mumbai Indians
Hardik Pandya,Mumbai Indians
Jasprit Bumrah,Mumbai Indians
Suryakumar Yadav,Mumbai Indians
Tilak Varma,Mumbai Indians
Ishan Kishan,Sunrisers Hyderabad
Tim David,Royal Challengers Bengaluru
Kieron Pollard,Mumbai Indians
Harbhajan Singh,Chennai Super Kings
Ambati Rayudu,Retired

MS Dhoni,Chennai Super Kings
Ruturaj Gaikwad,Chennai Super Kings
Ravindra Jadeja,Chennai Super Kings
Shivam Dube,Chennai Super Kings
Deepak Chahar,Mumbai Indians
Shardul Thakur,Chennai Super Kings
Moeen Ali,Kolkata Knight Riders
Sam Curran,Punjab Kings
Ben Stokes,Not in IPL
Dwayne Bravo,Retired

Shubman Gill,Gujarat Titans
Rashid Khan,Gujarat Titans
Sai Sudharsan,Gujarat Titans
Mohammed Shami,Sunrisers Hyderabad
Wriddhiman Saha,Retired
David Miller,Lucknow Super Giants
Lockie Ferguson,Royal Challengers Bengaluru
Kagiso Rabada,Punjab Kings

Rishabh Pant,Lucknow Super Giants
KL Rahul,Delhi Capitals
Axar Patel,Delhi Capitals
Kuldeep Yadav,Delhi Capitals
Prithvi Shaw,Delhi Capitals
Tristan Stubbs,Delhi Capitals
Khaleel Ahmed,Chennai Super Kings
Anrich Nortje,Kolkata Knight Riders
Avesh Khan,Rajasthan Royals

Sanju Samson,Rajasthan Royals
Yashasvi Jaiswal,Rajasthan Royals
Jos Buttler,Gujarat Titans
Trent Boult,Rajasthan Royals
R Ashwin,Chennai Super Kings
Shimron Hetmyer,Rajasthan Royals

Andre Russell,Kolkata Knight Riders
Sunil Narine,Kolkata Knight Riders
Rinku Singh,Kolkata Knight Riders
Nitish Rana,Rajasthan Royals
Venkatesh Iyer,Kolkata Knight Riders
Harshit Rana,Kolkata Knight Riders
Mitchell Starc,Delhi Capitals

Pat Cummins,Sunrisers Hyderabad
Heinrich Klaasen,Sunrisers Hyderabad
Travis Head,Sunrisers Hyderabad
Abhishek Sharma,Sunrisers Hyderabad
Bhuvneshwar Kumar,Royal Challengers Bengaluru
T Natarajan,Delhi Capitals
Washington Sundar,Gujarat Titans

Arshdeep Singh,Punjab Kings
Shikhar Dhawan,Retired
Liam Livingstone,Royal Challengers Bengaluru
Harshal Patel,Sunrisers Hyderabad
Rahul Chahar,Punjab Kings

Marcus Stoinis,Punjab Kings
Nicholas Pooran,Lucknow Super Giants
Quinton de Kock,Kolkata Knight Riders
Krunal Pandya,Royal Challengers Bengaluru
Devdutt Padikkal,Lucknow Super Giants

Chris Woakes,Not in IPL
Jimmy Neesham,Not in IPL
Jason Holder,Not in IPL
Aaron Finch,Retired
Adam Zampa,Rajasthan Royals
Dawid Malan,Not in IPL
Kyle Jamieson,Punjab Kings
Devon Conway,Chennai Super Kings
Vijay Shankar,Chennai Super Kings
Piyush Chawla,Mumbai Indians
Ajinkya Rahane,Kolkata Knight Riders
Manish Pandey,Kolkata Knight Riders
Imran Tahir,Retired
Chris Morris,Retired
Kane Williamson,Gujarat Titans
Mitchell Marsh,Lucknow Super Giants
Prasidh Krishna,Gujarat Titans
Shahbaz Ahmed,Lucknow Super Giants
