franchise,total_spend,avg_price,avg_value_index,players_bought,avg_performance
Chennai Super Kings,863.01,12.16,4.63,71,47.78
Delhi Capitals,797.04,12.45,4.54,64,47.26
Gujarat Titans,934.92,12.98,4.76,72,52.55
Kolkata Knight Riders,602.94,12.06,4.59,50,47.22
Lucknow Super Giants,839.49,12.72,4.68,66,49.35
Mumbai Indians,676.11,14.39,4.28,47,49.96
Punjab Kings,654.83,11.1,5.13,59,47.44
Rajasthan Royals,848.88,13.06,4.32,65,46.41
Royal Challengers Bangalore,656.8,11.73,5.27,56,51.1
Sunrisers Hyderabad,867.46,11.41,5.37,76,50.03
