franchise,total_spend,avg_price,avg_value_index,players_bought,avg_performance
Chennai Super Kings,302.39,2.42,73.53,125,38.7
Delhi Capitals,418.16,2.43,68.11,172,41.95
Gujarat Lions,20.5,0.68,138.49,30,28.81
Gujarat Titans,176.75,2.95,45.28,60,43.19
Kolkata Knight Riders,368.07,2.41,75.04,153,42.01
Lucknow Super Giants,178.3,3.02,61.76,59,44.3
Mumbai Indians,271.21,1.86,84.9,146,36.95
Pune Warriors India,18.75,4.69,8.32,4,34.64
Punjab Kings,460.95,2.94,67.08,157,40.67
Rajasthan Royals,280.77,2.08,69.04,135,36.3
Rising Pune Supergiant,39.0,1.44,135.37,27,33.2
Royal Challengers Bengaluru,396.76,2.56,72.15,155,39.55
Sunrisers Hyderabad,362.45,2.32,70.38,156,39.2
