year,player_name,role,nationality,age,ipl_experience_years,batting_avg,batting_sr,runs_scored,fifties,hundreds,wickets,economy_rate,bowling_avg,bowling_sr,base_price_cr,sold_price_cr,is_sold,franchise,performance_score,value_index
2015,Shubman Gill,Batsman,Indian,26,0,32.5,147.03,332,4,0,3,10.72,39.72,22.29,1.5,9.81,1,Rajasthan Royals,63.75,6.5
2015,Jasprit Bumrah,Bowler,Indian,20,0,16.76,99.28,211,1,0,14,6.77,27.94,13.1,0.5,5.1,1,Rajasthan Royals,32.8,6.43
2015,Yashasvi Jaiswal,Batsman,Indian,22,0,38.94,155.25,400,7,1,0,7.52,42.2,25.9,0.5,6.99,1,Kolkata Knight Riders,70.15,10.04
2015,Washington Sundar,Batsman,Indian,21,0,32.1,164.16,318,4,1,11,8.06,44.77,24.25,0.2,5.75,1,Chennai Super Kings,68.45,11.9
2015,Devon Conway,Batsman,Australian,21,0,36.86,131.72,422,8,1,0,8.08,29.03,23.33,0.5,5.03,1,Lucknow Super Giants,62.7,12.47
2015,Faf du Plessis,Batsman,Indian,22,0,37.04,169.73,377,6,1,0,9.59,23.57,26.15,1.0,8.7,1,Royal Challengers Bangalore,73.28,8.42
2015,Jos Buttler,Batsman,Indian,23,0,33.32,122.59,345,6,1,1,10.53,20.0,21.17,0.2,7.49,1,Delhi Capitals,57.0,7.61
2015,Marcus Stoinis,All-Rounder,South African,23,0,32.47,124.98,182,2,0,2,7.8,30.96,13.46,1.5,6.72,1,Rajasthan Royals,39.91,5.94
2015,Harshal Patel,Bowler,Indian,23,0,10.37,151.55,79,0,0,10,8.58,14.33,20.78,0.5,4.27,1,Kolkata Knight Riders,20.05,4.7
2015,Shreyas Iyer,Batsman,Indian,22,0,25.7,172.63,207,3,0,3,8.48,32.37,22.32,2.0,6.69,1,Rajasthan Royals,66.21,9.9
2015,Liam Livingstone,All-Rounder,Indian,28,0,23.86,109.35,90,1,0,7,6.5,18.9,27.72,0.5,11.36,1,Delhi Capitals,43.24,3.81
2015,Shivam Dube,All-Rounder,Indian,24,0,24.01,143.12,413,4,0,9,9.54,29.04,25.86,1.5,9.89,1,Kolkata Knight Riders,46.35,4.69
2015,Axar Patel,Batsman,Indian,21,0,49.06,102.86,331,4,1,4,8.77,37.08,29.31,0.2,5.21,1,Kolkata Knight Riders,57.1,10.96
2015,Venkatesh Iyer,Batsman,Indian,24,0,47.61,137.28,413,5,1,2,9.58,39.95,34.07,0.5,4.68,1,Punjab Kings,68.49,14.63
2015,Chris Woakes,Bowler,South African,23,0,22.67,101.99,132,1,0,10,7.94,30.59,20.3,0.2,5.15,1,Royal Challengers Bangalore,22.5,4.37
2015,Andre Russell,All-Rounder,Indian,22,0,8.0,126.47,161,1,0,6,8.27,34.89,20.52,1.0,6.82,1,Royal Challengers Bangalore,37.95,5.57
2015,Ravindra Jadeja,All-Rounder,Indian,23,0,11.46,119.06,340,3,0,3,9.8,32.67,16.5,1.5,5.85,1,Lucknow Super Giants,30.68,5.24
2015,Dinesh Karthik,Batsman,New Zealand,23,0,46.51,145.28,360,6,1,3,7.34,31.17,29.32,0.2,9.2,1,Gujarat Titans,69.39,7.54
2015,Nitish Rana,All-Rounder,Indian,20,0,32.08,118.45,153,1,0,13,6.5,38.99,18.49,1.0,9.17,1,Gujarat Titans,54.31,5.92
2015,Shardul Thakur,Bowler,English,23,0,18.89,126.79,150,1,0,17,7.55,15.48,13.61,0.5,6.45,1,Rajasthan Royals,34.35,5.33
2015,Jimmy Neesham,All-Rounder,Indian,22,0,25.57,128.25,229,2,0,4,8.83,31.49,27.26,1.0,9.01,1,Royal Challengers Bangalore,39.18,4.35
2015,Khaleel Ahmed,Bowler,Indian,22,0,23.62,99.56,91,0,0,8,7.83,19.58,18.85,0.5,2.33,1,Chennai Super Kings,19.42,8.33
2015,Ambati Rayudu,Batsman,West Indian,23,0,31.13,137.0,381,7,1,3,9.51,35.47,21.3,0.5,9.54,1,Royal Challengers Bangalore,61.17,6.41
2015,Dwayne Bravo,All-Rounder,Indian,25,0,17.9,114.58,253,2,0,9,8.8,25.02,26.38,1.0,7.25,1,Gujarat Titans,40.59,5.6
2015,Krunal Pandya,All-Rounder,Indian,22,0,35.27,153.48,133,1,0,8,9.27,40.03,24.33,1.0,8.62,1,Punjab Kings,50.57,5.87
2015,Sanju Samson,Batsman,Indian,18,0,31.88,152.34,316,5,1,0,7.0,34.11,16.17,0.2,5.64,1,Lucknow Super Giants,64.77,11.48
2015,Vijay Shankar,All-Rounder,Australian,23,0,11.65,158.0,129,1,0,10,7.82,39.72,20.22,2.0,16.16,1,Lucknow Super Giants,50.87,3.15
2015,Harbhajan Singh,Bowler,Indian,21,0,10.11,102.7,13,0,0,11,8.27,14.0,16.59,1.0,3.71,1,Chennai Super Kings,21.82,5.88
2015,Ben Stokes,Bowler,Indian,21,0,7.64,115.92,110,0,0,12,9.16,24.41,20.07,0.5,2.38,1,Rajasthan Royals,21.62,9.08
2015,Suryakumar Yadav,Batsman,South African,24,0,19.52,141.72,308,5,0,0,9.05,56.73,33.38,0.5,8.14,1,Punjab Kings,56.48,6.94
2015,Rishabh Pant,Batsman,Indian,23,0,28.9,125.97,517,8,1,0,7.4,40.63,20.1,0.2,4.82,1,Sunrisers Hyderabad,59.69,12.38
2015,Avesh Khan,Bowler,West Indian,20,0,16.04,134.97,99,0,0,14,9.18,27.4,18.14,0.5,6.19,1,Delhi Capitals,24.45,3.95
2015,Manish Pandey,Batsman,Indian,19,0,27.48,119.96,383,5,2,0,9.89,25.96,27.83,0.2,2.77,1,Lucknow Super Giants,54.64,19.73
2015,Glenn Maxwell,Batsman,Indian,20,0,38.1,149.48,296,6,0,4,10.61,37.43,28.92,1.0,4.27,1,Royal Challengers Bangalore,66.0,15.46
2015,KL Rahul,Batsman,Indian,24,0,26.59,97.85,476,8,1,0,9.99,32.81,28.98,2.0,3.68,1,Royal Challengers Bangalore,49.51,13.45
2015,Shahbaz Ahmed,All-Rounder,Indian,24,0,34.57,136.04,185,2,0,11,10.47,24.89,17.86,1.5,8.22,1,Sunrisers Hyderabad,49.05,5.97
2015,Heinrich Klaasen,Batsman,South African,21,0,42.64,173.99,436,8,2,7,9.76,43.36,18.65,2.0,6.18,1,Chennai Super Kings,77.97,12.62
2015,Prithvi Shaw,Batsman,Indian,20,0,38.94,121.14,244,3,1,3,8.6,48.02,20.24,0.2,4.62,1,Delhi Capitals,56.8,12.29
2015,Sam Curran,Bowler,Indian,22,0,15.33,139.07,10,0,0,19,8.01,21.44,12.95,0.5,3.21,1,Mumbai Indians,34.57,10.77
2015,T Natarajan,Bowler,English,24,0,5.67,80.0,109,0,0,15,8.77,14.82,21.16,0.5,4.3,1,Gujarat Titans,27.28,6.34
2015,Ravindra Jadeja,Bowler,Indian,23,0,8.9,126.37,52,0,0,11,8.2,24.95,14.29,1.0,4.16,1,Chennai Super Kings,22.42,5.39
2015,Dawid Malan,Batsman,Indian,21,0,28.42,99.77,177,4,1,7,11.06,24.99,36.0,0.5,7.53,1,Chennai Super Kings,44.84,5.95
2015,Pat Cummins,Bowler,South African,19,0,12.94,106.83,15,0,0,8,6.87,34.51,20.74,0.2,5.01,1,Royal Challengers Bangalore,21.54,4.3
2015,Wriddhiman Saha,Batsman,New Zealand,23,0,32.2,112.6,144,2,0,6,9.71,44.78,29.17,2.0,10.52,1,Lucknow Super Giants,49.54,4.71
2015,Mohammed Shami,Bowler,Indian,23,0,12.83,140.51,35,0,0,15,8.91,22.14,18.3,0.5,2.82,1,Delhi Capitals,26.12,9.26
2015,Quinton de Kock,Batsman,Indian,24,0,20.01,158.5,294,6,1,6,8.79,45.16,20.24,1.5,9.31,1,Kolkata Knight Riders,61.43,6.6
2015,Kieron Pollard,All-Rounder,Indian,24,0,20.19,135.98,216,2,0,12,8.95,29.05,18.18,1.0,8.45,1,Delhi Capitals,48.74,5.77
2015,Umesh Yadav,Bowler,Indian,22,0,6.85,104.67,39,0,0,21,9.52,30.91,17.48,1.0,6.81,1,Rajasthan Royals,33.33,4.89
2015,Kane Williamson,Batsman,Indian,21,0,48.04,150.92,293,5,1,4,9.88,44.83,33.99,0.2,8.76,1,Lucknow Super Giants,70.35,8.03
2015,Kagiso Rabada,Bowler,Australian,22,0,23.42,104.1,10,0,0,7,8.38,22.66,20.3,1.0,3.67,1,Chennai Super Kings,15.46,4.21
2015,Lockie Ferguson,Bowler,South African,23,0,27.49,108.3,105,0,0,12,8.93,14.88,16.98,0.5,3.62,1,Kolkata Knight Riders,22.26,6.15
2015,Rashid Khan,Bowler,Indian,18,0,18.73,80.46,56,0,0,10,8.11,27.72,17.71,1.5,2.62,1,Mumbai Indians,21.23,8.1
2015,Tilak Varma,Batsman,Indian,22,0,38.44,154.74,354,6,1,3,11.53,45.29,24.87,0.2,5.94,1,Gujarat Titans,68.88,11.6
