year,playername,role,nationality,age,iplexperienceyears,battingavg,battingsr,runsscored,fifties,hundreds,wickets,economyrate,bowlingavg,bowlingsr,basepricecr,soldpricecr,issold,franchise,performancescore,valueindex
2013,Glenn Maxwell,All-Rounder,Overseas,20,0,34.45,138.99,279,0,0,14,7.36,23.25,14.88,2.0,7.5,1,Mumbai Indians,58.49,7.8
2013,Ajantha Mendis,Bowler,Overseas,20,0,11.08,111.63,68,0,0,15,8.96,26.21,21.11,2.0,5.44,1,Pune Warriors India,26.3,4.83
2013,Kane Richardson,Bowler,Overseas,20,0,15.51,101.27,68,0,0,15,8.94,27.93,20.58,2.0,5.25,1,Pune Warriors India,26.36,5.02
2013,Abhishek Nayar,All-Rounder,Indian,20,0,24.12,112.67,165,2,0,6,8.66,27.33,19.7,2.0,5.06,1,Pune Warriors India,38.44,7.6
2013,Thisara Perera,All-Rounder,Overseas,20,0,28.4,112.11,168,1,0,6,8.43,30.56,20.78,2.0,5.06,1,Sunrisers Hyderabad,39.86,7.88
2013,Christopher Morris,All-Rounder,Overseas,20,0,32.98,136.96,295,2,0,18,8.04,21.39,16.33,2.0,4.69,1,Chennai Super Kings,61.16,13.04
2013,Sachithra Senanayaka,All-Rounder,Overseas,20,0,22.21,115.88,145,1,0,7,8.5,28.49,22.51,2.0,4.69,1,Kolkata Knight Riders,40.13,8.56
2013,Dirk Nannes,Bowler,Overseas,20,0,11.48,106.55,62,0,0,13,8.56,28.15,20.4,2.0,4.5,1,Chennai Super Kings,24.44,5.43
2013,Jaydev Unadkat,Bowler,Indian,20,0,12.09,107.36,67,0,0,18,8.31,22.16,15.62,2.0,3.94,1,Royal Challengers Bengaluru,32.74,8.31
2013,Manpreet Gony,Bowler,Indian,20,0,9.89,114.91,75,0,0,10,9.61,27.19,19.97,2.0,3.75,1,Punjab Kings,16.92,4.51
2013,Johan Botha,All-Rounder,Overseas,20,0,21.65,112.57,166,1,0,5,8.14,27.04,19.01,2.0,3.38,1,Delhi Capitals,37.65,11.14
2013,Nathan Coulter-Nile,Bowler,Overseas,20,0,12.51,114.42,75,0,0,16,8.13,25.31,19.76,2.0,3.38,1,Mumbai Indians,30.36,8.98
