playername,role,franchise,year,soldpricecr,performancescore,valueindex
Jitesh Sharma,Batsman,Mumbai Indians,2016,0.1,53.63,536.3
Deepak Chahar,All-Rounder,Rising Pune Supergiant,2016,0.1,51.38,513.8
Ankush Bains,Batsman,Rising Pune Supergiant,2016,0.1,45.78,457.8
Eklavya Dwivedi,Batsman,Chennai Super Kings,2015,0.1,44.93,449.3
Pawan Negi,All-Rounder,Chennai Super Kings,2014,0.1,42.31,423.1
Rahul Tewatia,All-Rounder,Rajasthan Royals,2014,0.1,42.14,421.4
Nitish Rana,All-Rounder,Mumbai Indians,2015,0.1,41.8,418.0
Ankush Bains,Batsman,Chennai Super Kings,2015,0.1,41.37,413.7
Manprit Juneja,Batsman,Sunrisers Hyderabad,2014,0.1,40.64,406.4
Hanuma Vihari,Batsman,Sunrisers Hyderabad,2015,0.1,40.45,404.5
Jitesh Sharma,Batsman,Punjab Kings,2022,0.2,80.37,401.85
Apoorv Vijay Wankhade,Batsman,Mumbai Indians,2014,0.1,40.18,401.8
Tanmay Agarwal,Batsman,Sunrisers Hyderabad,2017,0.1,40.14,401.4
Ankeet Bawane,Batsman,Delhi Capitals,2017,0.1,39.99,399.9
Kona Srikar Bharat,Batsman,Delhi Capitals,2015,0.1,39.91,399.1
Tirumalasetti Suman,Batsman,Sunrisers Hyderabad,2016,0.1,39.89,398.9
Ricky Bhui,Batsman,Sunrisers Hyderabad,2014,0.1,39.85,398.5
Ishank Jaggi,Batsman,Kolkata Knight Riders,2017,0.1,39.78,397.8
Ankush Bains,Batsman,Rajasthan Royals,2014,0.1,39.53,395.3
Shishir Bhavane,Batsman,Royal Challengers Bengaluru,2015,0.1,39.03,390.3
